"","Subcategory","RQ","axialCode","initialCode","codeName","definition","N","Examples"
"141","1.8 - Past Experience","N","PE-OS","PE-OER","Prior Experience - Open Educational Resources","Describing a prior experience with OERs, E.g. they expressed they were on a task force to encourage OERs at their university. (includes related experiences such as teaching others about OERs)",2,"We're, there's a really big push at my university now, where I'm I got on some task force too for open educational resources. // I was just gonna say, of all the things on your question there, I have the most experience with the open educational resources, just because at my last institution there was funding from the university if you made OER. And then there was also, like a fairly big repository, I guess, through our library of open educational resources."
"142","1.8 - Past Experience","N","PE-OS","PE-OM","prior experience - sharing materials","Sharing protocols, stimuli, general materials that are not the manuscript.",15,"I have provided materials online that were used in my studies for researchers or clinicians who were interested in using them // I'd posted them on a lab website for other people who were interested in. // I am trying to be more transparent about my work, and like using like posting protocols and trying to publish open access when possible. // I don't have a personal website yet, but I have posted preregistrations on OSF and I've posted some R scripts and some stimuli. // I've also uploaded stimuli and experiment protocols on Github. // A little bit of OSF. Posting some stimuli there. // And I have also done some code-based...code code base using Github and train my students how to use Github, how to collaborate, and how to how to increase the transparency of their research. So in our published papers we have a shared all of our codes for experimental paradigms, and all the and also all the analysis scripts are available on both open science framework and also Github. // So, I'd say most of my open science practices would be related to code sharing // we also have a lab Github, where, even as we're doing our analyses, I have all of my students use Github to have version controlled code. Usually we don't work completely openly at the beginning. So we will have private repositories for code while we're working on them. And then, when we are ready to submit our paper, we will make the publication ready one that can be reviewed. So, I know that some people do fully open as they're going, but we tend to, you know, have our sort of in-house version of the code and then our camera-ready version when we're happy with it. We put that as the public one that's released with the paper, or released during the review. // And then, actually, in my Phd program, I learned how to use GitHub. But my PI didn't use R or anything like that. And so then it became more of like a niche for me, and no one used it, and so I haven't used it for a while. But I need to get back to it as I am starting to do a lot on my own. // sharing also the experiment paradigm // I have a couple of papers that have like R scripts and data files on an OSF repository. // Yeah, I've been trying to publish code associated with with papers usually on OSF // I've been trying to get better at putting the code up for R up on OSF. We've been getting more consistent with that, // I was gonna add that I try to really could as much supplemental and extra appendices like things, if I have work that I think is clinically relevant, or I want to be able to have SLPs who are going to be able to try to replicate our use. So I try to add as much as I can"
"143","1.8 - Past Experience","N","PE-OS","PE-OPR","Prior Experience - Open Peer Review","Describing prior experience with open peer review process (includes related experiences such as teaching others about OPR)",1,"I was asked to be a reviewer on an open review, and it was for a researcher who I deeply respected, but who scared me, and I decided I did not want to do it, because I didn't want her to, you know, even though I’m sure the review would have been pretty positive. I just didn't want her to associate me with criticizing her work. Granted, she was very senior, and I was a postdoc at the time."
"144","1.8 - Past Experience","N","PE-OS","PE-PR","Prior Experience - Preregistration","Describing a prior experience preregistering a study or teaching others (e.g., their students) how to preregister",12,"I have just submitted my first pre-registration or report to OSF in the last year. This was my first time doing that.  // This is all very like new for me.  // I yeah, I feel really lucky that I have this person. That's the only reason I'm doing it. And she's been like walking me through it.  // And like I said, I'm doing this for the first time right now. And it is it's interesting how I'm working with these two people, and I have one person who is not comfortable sticking to what we said we are going to do, and this is a very famous person in our field who is very well established. // I don't have a personal website yet, but I have posted preregistrations on OSF and I've posted some R scripts and some stimuli. // And, you know I have been in a situation where we preregistered the protocol, and also published the protocol for something, and I mean a peer viewer should have recused themself but they tried to to deny the article or reject the article because they were doing something similar. So it was kind of a weird situation, and so that kind of left a bad taste in my mouth. // So I find it a good time to preregister is when you’ve collected the data, but you haven't analyzed it yet. So you like, kind of have a sense of like what your age group is, and how many kids, I work with kids. How many kids you've already recruited to participate. So, like you haven't done any of like the data cleaning or the data processing or the analyses. So you still have really sound research questions, hypotheses, and methods. But you've already kind of collected the data. So, the most recent preregistration I did, we did it in that format. // I have encouraged my students to do pre-registration for the manuscripts they are working on, and so I also have taught how to do pre-registration in a course // I know that we tried to publish like, trying to put something and register some...a couple of manuscripts, but it didn't happen because it was taking away time from the actual manuscript // My first experience with open science has been publishing a protocol for a scoping review on Open Science Framework. // And we've been trying to get better at doing registered, pre registered reports and things like that on OSF, wherever it's, wherever we're looking at archive data. // in more cases than I'm proud to admit we've submitted it at a stage where we have to select basically, we've collected it already. And we're submitting this preregistered report prior to looking at the data. But like we've already done most of the collection, which is, you know, a little bit later than I'd like"
"145","1.8 - Past Experience","N","PE-OS","PE-SA","prior experience - self-archiving","Participant describes their previous experience self-archiving. The comment indicates that the participant is doing the self-archiving, or teaching someone else to self-archive.",22,"I've done a little bit of self-archiving and keeping track of like what the rules of the different journals that I've published in are so like tracking embargo periods, and knowing what versions I can post, where // I do some self-archiving. I have a website where I post all of my manuscripts. I go to the CSDisseminate website to see, you know, like which journals let you post accepted copies and etc.  // I tried to put up free, legal versions of previous manuscripts on my department website, but was told that I had to adhere to a particular format that didn't allow for publications to be posted on there. So, as it turns out, I wasn't able to. // So yeah, I have published in open science journals and uploaded my papers on Bio archive for public accessibility. //  and then in terms of self archiving. So I've done preprints before, but I'm always sort of unclear about okay. Once that actually gets accepted and published. What do I do with the preprint? Do I leave it up? Do I update it? Do I take it down? I don't know. I could probably figure it out. But I don't know at this point. // And then, so most of my work has been NIH-funded, which typically allows for open access after a year. So, I've sort of defaulted to, well, I'll just wait a year, and then I can make that version available. // So yeah, I I did make myself a personal website, and it does take a lot of time and work, and<P>kind of wonder if it's really, you know, worth it. // My previous institution had a very active librarian and a seamless, like, once a quarter we got a reminder email. Hey? Have you gotten any articles submitted or published? Would you like to archive them? And all I had to do was send them the title and the the journal, and they did all the contacting and figured out which draft needed to be...it was wonderful. // In I think my first year of my faculty position I was really motivated to self-archive, and have, you know, really accessible on my website a list of all of my manuscripts that are available. And so, I had a grad student take some time, and you know, figure out the requirements to the best of her knowledge, and tell me which copies of things. And so then I went to the person who manages the faculty websites, and said, hey, I want to do this thing. It's this movement within the field to be more transparent, open. And she said. Oh, well, a lot of faculty end up forgetting to update their manuscript list, so we just don't allow them to be posted at all. So like well, you know. So that was just one example of trying to put in the work and then meeting resistance due to all of these layers, and figuring. Well, you know. This should be a straightforward thing. But there's all these things that make it difficult to actually implement. // So, I have a preprint of my Thesis Masters. So that's that's something that I did early on without really even knowing what open science was. //  And spent some time kind of going through my publications and figuring that out. And then never quite got to the point of getting everything posted on my website. But...on my lab website. But it's something that's on my To Do List. // as well as make free versions of our papers available. And sometimes pre-prints available as well. // We do pre-prints for everything these days on site archive or OSF, // but we do put all of our accepted papers that are unformatted on there as well as pre-prints. // Okay, just one paper I'm on. We have a Pre print // And so my lab website includes links to download the freely available version of our published papers. // and I'm gonna say, one time I tried the first time I ever tried to share something I got in trouble or told like this can't go on there. And I was like, “Oh, no!” // I have some available my website. // Yeah, I preprint everything, because as far as I've been able to tell you cannot be yelled at for preprinting because it's not owned by a publisher yet. But the one thing that, uh oh, I just blanked on what I was going to say...self-arching...Oh, yeah. The one thing I was gonna mention is, I've actually had a cease-and-desist letter from a publisher about the linking your own personal copy. So just per X's comment there, I'm not sure even that gets you away from that I've actually and of course it was Elsevier. I mean, you could also do that? But anyway, so typically, we just link to pre-prints and as far as I know, as long as you update the pre print to the accepted version, I've learned, it's okay. // I just link to my Google Scholar profile. Which means that I need to have the papers in a repository that is searchable by Google Scholar or findable. // I do OSF. They have a preprint section that attaches to your project already, which I really like, because it's all in one place. // But otherwise I used to do PsyArXiv was the one that we did."
"146","1.8 - Past Experience","N","PE-OS","PE-SARP","prior experience - self-archiving research products","Presentation slides and posters, NOT manuscript",2,"And I've also posted like after the fact, posters and links to like Powerpoint Presentation PDFs. // I post my, most of my presentation slides and posters on the same website,"
"147","","N","PW","PW","Personal website","Using a personal website for OS purposes (personal, lab website)",9,"I have some on a personal website.  // I've been putting links to it on my faculty web page, so that if somebody was to Google or look for my article and it was behind the paywall, the journal. They at least have a link then to it // I'd posted them on a lab website for other people who were interested in. // After a talk I'll I'll try to post those on on my lab website as well. // I have a website where I post all of my manuscripts. // I don't have a personal website yet, but I have posted preregistrations on OSF and I've posted some R scripts and some stimuli. // I think this also came up earlier, but just having the time also to make a personal website. // So yeah, I I did make myself a personal website, and it does take a lot of time and work, and<P>kind of wonder if it's really, you know, worth it. // And so my lab website includes links to download the freely available version of our published papers."
"148","","N","R-UCSD","R-UCSD","Resources - used CSDisseminate resources","Participant has utilized CSDisseminate resources (e.g., referenced website, attended a training)",17,"I have definitely used the CSDisseminate resources before // I go to the CSDisseminate website to see, you know, like which journals let you post accepted copies and etc.  // I went to one of those zoom CSDisseminate webinars that you had // I did the same // So I did do a CSDisseminate webinar, maybe // I think I did a CSDisseminate something a webinar, whatever it was some time ago, but otherwise I I mean, I've had very little formal instruction on open science. It wasn't really a model that was emphasized in my Phd training. I didn't really see that from my Phd mentors.  //  I was gonna say that I had attended one of the CSDisseminate workshops a couple of years ago that talked about how to figure out which version of your papers you're legally allowed to share, and I thought that was really helpful // The the CSDisseminate workshop which I I went to, I think it was about 2 years ago, was extremely helpful in this, // I took the CSDisseminate I guess zoom presentation about how to make your website have all of the articles on it. // For me, the only explicit training experiences would have been through CSDisseminate webinars. // I’ve had a few trainings at conferences. Some through CSDisseminate, but also at ASNR, the  American Society for Neurorehabilitation. They have some talks usually about big data and trying to use consistent outcome measures. And open science practices. // And then also the CSDisseminate events. // Yeah, I agree also even after the CSDisseminate talk about self archiving, we still, in the in my lab, are struggling to find the rules for each publisher, and it seems like every time we look they are a little bit different. So that's been a really big challenge. // after I did the CSDisseminate live webinar I came back to the students who work with me in my lab, and we talked about it // And then resources like CSDisseminate // The CSDisseminate resources for me were really big for this. // One of the resources that CSDisseminates provides is a template for the blurb to include at the top of the manuscript, and I always just copy paste that in and I find that really helpful to have really concrete wording and placement in addition to right websites, to look up exactly how to do it. Depending on the journal that you're publishing in."
"149","1.5 - Personal","N","SJ","SJ","Self Judgement","Participant demonstrates self-judgement about how they do or do not engage in OS practices, speaking more generally and not as a specific barrier to engaging in OS. Participant expresses they feel like a ""lousy"" or ""bad"" researcher because they do/do not do an OS practice.",5,"I've also submitted data to our RHD bank. So I've done through through them. I've I I know they're still. It's not a paywall, but at least there's, it's available to a lot of researchers there. // I know that that's not as good as like sharing the data publicly, // But I just still feel like, hey, I'm a lousy researcher. // so it's not that we're bad researchers, or you know that are stuff is not important enough // in more cases than I'm proud to admit we've submitted it at a stage where we have to select basically, we've collected it already. And we're submitting this preregistered report prior to looking at the data. But like we've already done most of the collection, which is, you know, a little bit later than I'd like"
"150","","N","TE-PRES","TE-CP","Training Experience - Conference Presentation","Participant says that they have learned about OS/OD/OA/SA/PR through a conference presentation",4,"Yeah, I added, I attended a training session at a conference. It was a formal training session. // I I attended that conference there was a discussion and the need for open access and all that. // I’ve had a few trainings at conferences. Some through CSDisseminate, but also at ASNR, the  American Society for Neurorehabilitation. They have some talks usually about big data and trying to use consistent outcome measures. And open science practices. // Mine's been like 99% twitter and 1% conference probably. If I'm being honest."
"151","","N","TE-LFO","TE-CS","Training Experience - Collaborator Support","Participant expresses that workign with a collaborator taught them alot about OS/an individual OS practice",2,"But most of my open science practice knowledge was built individually through conversations with other scientists who were working their way through the process. Or recommended like a research gate for sending articles, or walked me through which exact manuscript draft it was the one to save that could be legally shared. Yeah. and you say it. It's a lot of individual instruction at the beginning. // So, someone that I've recently collaborated with that is a postdoc has actually taught me quite a bit, and that's how I've gotten kind of more exposure and comfort with OSF and pre registrations and posting things like that. So? I would agree with X if I'm pronouncing your name correctly? In that it's been a lot of like one-on-one individualized kind of support from colleagues."
"152","","N","TE-LFO","TE-LFO","Training experience-learning from others","Participant discusses learning about OS/how to engage in OS through seeing how others engage in OS (e.g., seeing what others share on OSF) or talking with others about OS",2,"I think I've benefited from other people using it, which is helpful to to see how useful it can be // I'm learning some tips already from this group."
"153","","N","TE-NE","TE-NE","Training experience - not extensive","Previous training (either a specific webinar OR training experience in general with OS) was not extensive",9,"But it wasn't particularly extensive // Originally I was going to say, I don't think I got any training in this. But as X and X who were talking, I recall that in our systematic review class we talked about sort of the registration of a systematic review protocol. And I don't know if that would be considered open science, I think it would be. And that's basically the extent to which it was ever discussed. // Just kind of little bits and pieces along the way // I don't think many of us have had that training // I would second that I would say. During my training, and even through, I would say, local continuing education at my university. I have not had much experience with open science practices. // I think I did a CSDisseminate something a webinar, whatever it was some time ago, but otherwise I I mean, I've had very little formal instruction on open science. It wasn't really a model that was emphasized in my Phd training. I didn't really see that from my Phd mentors.  // But it wasn't really emphasized or not right, encouraged very much. So otherwise. Yeah. What, a Webinar here, there, some podcasts, and then seeing things on Twitter. People encouraging open science practices. // I guess my only formal one was in my stats courses that we used Github, but otherwise I haven't had any formal education about that. // I did not receive any formal training in my doctoral program, my postdoc, or even on boarding as a new faculty member at my home institution."
"154","","N","TE-NT","TE-NT","Training experience - no training","Discussed not having any preious OS training experience ",11,"I was gonna say I don't think I have ever attended a talk, or a webinar, or anything that was specifically about open science practices // I don't think I've ever had anything devoted to open science // But I would also like to single out pre-registration. I feel like I just missed that my doc program. // I don't think you missed it. I don't think it was there. I'm just gonna tell you like I don't think, yeah, I just don't think it was there. // We don't know what we're doing, and we haven't been trained to do this this isn't how we've been taught to do research our entire, like // I'll also add, so I didn't do a postdoc. I went straight from a Ph.D. right into an assistant professor position, and I feel like the friends that I have that are currently in postdocs or just wrapping up have been able to get that training, so I feel like it's blossoming right now and some of us that have graduated, you know, 4 5 6 years ago. Kind of missed the train a little bit on all that training that's coming out. // And we, in my PhD program, we haven't talked about open science practices, and it was more my experience with it, is more from when I was wrapping up my clinical practice kind of phase of my career, and where I was sort of reading about, and hearing that this was a way that as a consumer I could sort of get that information. And I have not had much about being like much training about being a producer of science, and how to get that out. There was more about like this is how you can access it when you need it. Not how you get it out. // You know I have an ORCID ID, and and that was kind of the focus on my PhD program was making sure we had that. But there was no discussion, as somebody else had mentioned, on open science. It was really...I was at an R1 institution, and it was all about grant writing and and submitting for NIH and all that. I was in implementation science courses. And so that was a whole different beast.  // What I was just gonna share was I have not had direct training either, like like some of the others, but mostly experience, I guess exposure at conferences, and then but very little, I would say. // I also haven't had any real trainings, and I would say some of that is I need to reach out, and I I I have an interest that I have no training and I don't know if that's because I'm not seeking it out, or I don't know where to seek it out. // But I don't have any. I have never attended a a conference or a seminar, or anything."
"155","","N","TE-OS","TE-OA","Training Experience - Open Access","Specifically discussed training experience with open access",2,"I have attended continuing education sessions on how to access research more easily, and to avoid paying for articles and getting around paywalls. // I I attended that conference there was a discussion and the need for open access and all that."
"156","","N","TE-OS","TE-OD","Training experience - open data","Specifically discussed training experience with open data",1,"But one year, one one week of the 5 years I was in my PhD someone presented on open science and recommended that we post our data onto OSF."
"157","","N","TE-OS","TE-OER","Training experience- Open educational resources","Participant discussed receiving training about open educational resources.",1,"So my university library has talked about open education resources,"
"158","","N","TE-OS","TE-OM","Training Experience - Open Materials","Training experience relating to open materials (i.e. sharing code)",2,"I guess my only formal one was in my stats courses that we used Github, but otherwise I haven't had any formal education about that. // But I have been involved in a summer workshop called Neuro Academy, which is at the University of Washington. And they, it's very much about open science practices and the open Science community, and particularly code replicability and science replicability. And so I have been an instructor there. And so I've watched other people give talks, and that's actually helped me learn as well, even though I was not formally a student. But that's a great group"
"159","","N","TE-OS","TE-OR","Training Experience - Open Resources","Training was received by accessing online materials hosted by different organizations (i.e. OSF, Society for Neuroscience)",1," I mainly follow the openly accessible training materials by the Society for Neuroscience, and also there are open, open science framework. They have a lot of materials, such we can comb through about how to how to do open science."
"160","","N","TE-OS","TE-OS","Training experience - open science","Discussed previous training with OS but did not specify which practice",17,"I went to one of those zoom CSDisseminate webinars that you had // I did the same // I think I have a similar experience to X, where we it was either like one class session or one colloquium meeting, and somebody presented on open science, and was like, hey, this is a good idea we should do more of this. // I would second that I would say. During my training, and even through, I would say, local continuing education at my university. I have not had much experience with open science practices. // I've listened to several different podcasts talking about the various aspects of open science, so I feel like I have a decent understanding of the different components of it. // So I did do a CSDisseminate webinar, maybe // But most of my open science practice knowledge was built individually through conversations with other scientists who were working their way through the process. Or recommended like a research gate for sending articles, or walked me through which exact manuscript draft it was the one to save that could be legally shared. Yeah. and you say it. It's a lot of individual instruction at the beginning. // I think I did a CSDisseminate something a webinar, whatever it was some time ago, but otherwise I I mean, I've had very little formal instruction on open science. It wasn't really a model that was emphasized in my Phd training. I didn't really see that from my Phd mentors.  // But it wasn't really emphasized or not right, encouraged very much. So otherwise. Yeah. What, a Webinar here, there, some podcasts, and then seeing things on Twitter. People encouraging open science practices. // I'll also add, so I didn't do a postdoc. I went straight from a Ph.D. right into an assistant professor position, and I feel like the friends that I have that are currently in postdocs or just wrapping up have been able to get that training, so I feel like it's blossoming right now and some of us that have graduated, you know, 4 5 6 years ago. Kind of missed the train a little bit on all that training that's coming out. // Yeah, I added, I attended a training session at a conference. It was a formal training session. // So, I I receive formal training during a postdoctal experience. // And we, in my PhD program, we haven't talked about open science practices, and it was more my experience with it, is more from when I was wrapping up my clinical practice kind of phase of my career, and where I was sort of reading about, and hearing that this was a way that as a consumer I could sort of get that information. And I have not had much about being like much training about being a producer of science, and how to get that out. There was more about like this is how you can access it when you need it. Not how you get it out. // You know I have an ORCID ID, and and that was kind of the focus on my PhD program was making sure we had that. But there was no discussion, as somebody else had mentioned, on open science. It was really...I was at an R1 institution, and it was all about grant writing and and submitting for NIH and all that. I was in implementation science courses. And so that was a whole different beast.  // But I have been involved in a summer workshop called Neuro Academy, which is at the University of Washington. And they, it's very much about open science practices and the open Science community, and particularly code replicability and science replicability. And so I have been an instructor there. And so I've watched other people give talks, and that's actually helped me learn as well, even though I was not formally a student. But that's a great group // I think I've benefited from other people using it, which is helpful to to see how useful it can be // after I did the CSDisseminate live webinar I came back to the students who work with me in my lab, and we talked about it"
"161","","N","TE-M ","TE-P","Training Experience - Podcast","Mentions they have learned about OS through a podcast",2,"I've listened to several different podcasts talking about the various aspects of open science, so I feel like I have a decent understanding of the different components of it. // But it wasn't really emphasized or not right, encouraged very much. So otherwise. Yeah. What, a Webinar here, there, some podcasts, and then seeing things on Twitter. People encouraging open science practices."
"162","","N","TE-BTT","TE-PD","Training Experience - Post Doc","Participant discusses training they received during a post doc",1,"So, I I receive formal training during a postdoctal experience."
"163","","N","TE-BTT","TE-PhD","Traning experience - PhD","Discussed attending OS trainings during PhD program",4,"During my PhD, we had a weekly research meeting, and usually it was people sharing the research they were doing. But one year, one one week of the 5 years I was in my PhD someone presented on open science and recommended that we post our data onto OSF. // I think I have a similar experience to X, where we it was either like one class session or one colloquium meeting, and somebody presented on open science, and was like, hey, this is a good idea we should do more of this. // I recall that in our systematic review class we talked about sort of the registration of a systematic review protocol // I guess my only formal one was in my stats courses that we used Github, but otherwise I haven't had any formal education about that."
"164","","N","TE-OS","TE-PR","Training experience - preregistration","Discussed attending training related to preregistration",4,"I recall that in our systematic review class we talked about sort of the registration of a systematic review protocol // But I would also like to single out pre-registration. I feel like I just missed that my doc program. // I don't think you missed it. I don't think it was there. I'm just gonna tell you like I don't think, yeah, I just don't think it was there. // So, someone that I've recently collaborated with that is a postdoc has actually taught me quite a bit, and that's how I've gotten kind of more exposure and comfort with OSF and pre registrations and posting things like that. So? I would agree with X if I'm pronouncing your name correctly? In that it's been a lot of like one-on-one individualized kind of support from colleagues."
"165","","N","TE-OS","TE-SA","Training Experience - Self Archiving","Participant describes a training experience with self-archiving",3,"But most of my open science practice knowledge was built individually through conversations with other scientists who were working their way through the process. Or recommended like a research gate for sending articles, or walked me through which exact manuscript draft it was the one to save that could be legally shared. Yeah. and you say it. It's a lot of individual instruction at the beginning. //  I was gonna say that I had attended one of the CSDisseminate workshops a couple of years ago that talked about how to figure out which version of your papers you're legally allowed to share, and I thought that was really helpful // The library, the librarians at [university] host a training on how to put your papers into repositories that people can access. We the the it was like a 1 hour long workshop, or something like that. But we learned about how if you put your papers on Research Gate, you're basically giving Research Gate the right to use all of your figures and do all these things that you didn't know you were giving them the rights to and and showing us how to get our papers off of Research Gate, and then move towards repositories through the university. But, there's so many people interested in it that the waitlist is very long, and we it's been like 8 months now, and I still haven't been contacted for that. But ostensibly I know how to put papers on an repository that people can access."
"166","","N","TE-M ","TE-SM","Training Experience - Social Media","Participant says that they have learned about OS/OD/OA/SA/PR through social media",3,"But it wasn't really emphasized or not right, encouraged very much. So otherwise. Yeah. What, a Webinar here, there, some podcasts, and then seeing things on Twitter. People encouraging open science practices. // Mine's been like 99% twitter and 1% conference probably. If I'm being honest. // Yeah, I I echo the big social media influence for open science."
"167","","N","TE-M ","TE-V","Training Experience - Videos","Training was received through videos (e.g Youtube)",1,"There are a lot of Youtube videos as well, and have a bookmark folder for those resources, and happy to share"
"168","","N","TE-PRES","TE-W","Training Experience - Workshop or Webinar","Training on OS - attended a workshop or webinar (ex. CSDisseminate webinar)",14,"I went to one of those zoom CSDisseminate webinars that you had // I did the same // I have attended continuing education sessions on how to access research more easily, and to avoid paying for articles and getting around paywalls. // So I did do a CSDisseminate webinar, maybe // I think I did a CSDisseminate something a webinar, whatever it was some time ago, but otherwise I I mean, I've had very little formal instruction on open science. It wasn't really a model that was emphasized in my Phd training. I didn't really see that from my Phd mentors.  // But it wasn't really emphasized or not right, encouraged very much. So otherwise. Yeah. What, a Webinar here, there, some podcasts, and then seeing things on Twitter. People encouraging open science practices. //  I was gonna say that I had attended one of the CSDisseminate workshops a couple of years ago that talked about how to figure out which version of your papers you're legally allowed to share, and I thought that was really helpful // But I have been involved in a summer workshop called Neuro Academy, which is at the University of Washington. And they, it's very much about open science practices and the open Science community, and particularly code replicability and science replicability. And so I have been an instructor there. And so I've watched other people give talks, and that's actually helped me learn as well, even though I was not formally a student. But that's a great group // The the CSDisseminate workshop which I I went to, I think it was about 2 years ago, was extremely helpful in this, // I took the CSDisseminate I guess zoom presentation about how to make your website have all of the articles on it. // For me, the only explicit training experiences would have been through CSDisseminate webinars. // The library, the librarians at [university] host a training on how to put your papers into repositories that people can access. We the the it was like a 1 hour long workshop, or something like that. But we learned about how if you put your papers on Research Gate, you're basically giving Research Gate the right to use all of your figures and do all these things that you didn't know you were giving them the rights to and and showing us how to get our papers off of Research Gate, and then move towards repositories through the university. But, there's so many people interested in it that the waitlist is very long, and we it's been like 8 months now, and I still haven't been contacted for that. But ostensibly I know how to put papers on an repository that people can access. // Yeah, I agree also even after the CSDisseminate talk about self archiving, we still, in the in my lab, are struggling to find the rules for each publisher, and it seems like every time we look they are a little bit different. So that's been a really big challenge. // after I did the CSDisseminate live webinar I came back to the students who work with me in my lab, and we talked about it"
"169","","N","U-OA","U-OA","Uncertainty - Open Access","Participant expresses uncertainty related to the open access process, including what counts as OA or the different types of OA",4,"This is probably a really naive question. But what is the difference between what makes it gold open access as compared to other levels? // Thanks. I knew the money was an issue. I just didn't know the difference.  // I have no experience with grant writing, so I don't even really know how to access funding for opportunities like this. // I don't know, like are there ways to get gold open access paid for if you don't have grant support for a particular project? That's what I would like to know."
"170","","N","U-OD","U-OD","Uncertainty - open data","Being unsure what they are allowed to do/share (related to open data)",7,"I, personally, I’m just not sure like what I’m allowed to post, since, like I have a lot of recordings of children's voices and haven't specifically asked for permission to post their voice recordings online // because I'm just not sure what I'm legally allowed to do. // you know what counts as the de-identifiable or not // I don't even know where sort of to begin with that at this point. // That's how accessible it is to the users in terms of uploading and downloading data. And so what what would be the most straightforward way to do it. I'm constant today at a loss. // And going along with that, at what point you know, are you able to share your data like how much cleaning needs to happen. Besides deidentification. So like for example, I use Redcap. And so a lot of it comes down, and it's like this, and then a subhead, depending on what type of question you're asking. And I can just give a key with that? Or do I have to convert that because I do that when I'm running my scripts in R // I'm honestly not sure what I should do about that."
"171","","N","U-OER","U-OER","Uncertainty - Open Educational Resources","Being unsure what OERs are, or how to engage with OERs",2,"I don't even know what open educational resources means. // So I am very interested in that and doing that, perhaps, but I agree with most others in saying a lot of it is knowing what to do."
"172","","N","U-OS","U-OS","uncertainty - open science practices","Being unsure what 'counts' as an open science practice, or generally not knowing how to engage in OS practices",10,"I don't know if this counts // So, I guess I don't know if that counts // Do you include like open access journals in this? // I don't know if that would be considered open science, I think it would be // Okay, I'm going to be Devil's advocate and say that I would like I would like something interactive, because sometimes I feel like...I don't know. I like when I look things up online, maybe my question is so so back, you know, like I'm, I'm. So I'm so novel. It's so new to me, or I'm such a you know I'm such a novice that, like I need to be able to ask questions to make sure I understand what we're talking about, and sometimes it's not. You know I'm basically I'm not gonna find the Youtube video that's gonna get me to the basic level that I need to be at. So I don't know. // And if that's straightforward across institutions? Which it sounds like, it's not // I think part of the thing that we ran into is that all of us were learning how to do open science, including my PI. And there was a lot of hesitancy there of like, what do we need to do? What, what's good to put in? And then also just making sure that you're selecting the right area. So, like I do a lot in language and literacy and speech, and so like I know OSF is a good one, but I think there's a couple of new ones that have started that are specific more for that area. // and then kind of thinking about also, if like I do...If I write them in... like I'm writing up my dissertation. Do like a preprint, or are there other options that are more efficient and effective because I do need to move it along. So just thinking more about those aspects. // But I also know that I have a lot to learn about open science and want to improve those practices. So I feel like I think I do more than I realize, but I I consider myself as being new to this area, and wanting to learn and grow and figure out how to do it better. // There probably are some pieces that I'm already doing at parts of and need some more knowledge to to use more open open practices."
"173","","N","U-PR","U-PR","Uncertainty - Preregistration","Being unsure what they are allowed to include in a preregistration or how to preregister (e.g., what to include in stats analysis plan)",9,"And now that I've gone through and you know, graduated, I just. I don't know how to learn how to preregister things, and I feel like that's a a big gap in my personal knowledge. // But I felt the same as you. I don't know that I would have done it on my own, because it felt like I was completely, well I was completely naive to what was supposed to go in there. And you know what are my goals from doing it? // I feel like I don't know what to pre-register like I feel like my studies aren't big enough for important enough or using the right methods to preregister. // What everyone saying is making me realize that I think the biggest barriers is that we just aren't used to doing it. We don't know what we're doing // Something that would help facilitate for me is is what you're allowed to say in terms of exploratory or like, you know this is like, is it a flow...Can I put a flow chart like if I have this many kids? This is what I'll do. But if I have this many, you know what I mean, and and there are things you can do like you are allowed to say those things. Like this is what I would do in this event.  // I do a lot of qualitative work, and, like your research questions can change once you have started analysis, so I feel like the rules become even less clear, and that makes it harder to preregister qualitative studies // I do have a question about this process like when I write IRBs, I'm doing all of this. Like, I've taken the time to write the research question and the methods. And you know, then, once it gets approved and all those forms are in place, then I would feel comfortable. I don't know copying, or having IRB send that information to preregister. // so does anyone know if there's sort of like this once you've been approved by IRB whether that information can be sent as a preregistration for this process? // But mostly it's time, confusion about how to do it, what details I need to have, how much detail to go into, those kinds of things. And some of it, too, that's been, probably there's probably real easy to find answers for this. But, like the analysis plan, do I need to have<P>alternative analyses if, like, my data don't need the assumptions for the first proposed analysis, like how much detail."
